field_path,paper_count,occurrence_count,in_schema,observed_in_results
properties[].mechanical.tensile_properties.uniform_elongation[].value,2,6,False,True
properties[].physical.stacking_fault_energy,2,6,False,True
properties[].physical.stacking_fault_energy.unit,2,6,False,True
properties[].physical.stacking_fault_energy.value,2,6,False,True
properties[].mechanical.elastic_constants[].constant,1,27,False,True
properties[].mechanical.elastic_constants[].unit,1,27,False,True
properties[].mechanical.elastic_constants[].value,1,27,False,True
properties[].mechanical.charpy_impact_toughness,1,26,False,True
properties[].mechanical.tensile_properties.true_fracture_stress,1,26,False,True
properties[].mechanical.tensile_properties.true_ultimate_tensile_strength,1,26,False,True
properties[].mechanical.elastic_constants,1,18,False,True
properties[].mechanical.tensile_toughness,1,14,False,True
properties[].mechanical.charpy_impact_toughness[].temperature,1,13,False,True
properties[].mechanical.charpy_impact_toughness[].uncertainty,1,13,False,True
properties[].mechanical.charpy_impact_toughness[].unit,1,13,False,True
properties[].mechanical.charpy_impact_toughness[].value,1,13,False,True
properties[].mechanical.tensile_properties.true_fracture_stress[].direction,1,13,False,True
properties[].mechanical.tensile_properties.true_fracture_stress[].unit,1,13,False,True
properties[].mechanical.tensile_properties.true_fracture_stress[].value,1,13,False,True
properties[].mechanical.tensile_properties.true_ultimate_tensile_strength[].direction,1,13,False,True
properties[].mechanical.tensile_properties.true_ultimate_tensile_strength[].unit,1,13,False,True
properties[].mechanical.tensile_properties.true_ultimate_tensile_strength[].value,1,13,False,True
properties[].mechanical.tensile_properties.strain_hardening_exponent,1,10,False,True
properties[].physical.magnetic_properties,1,10,True,True
properties[].physical.magnetic_properties.permeability,1,10,False,True
properties[].mechanical.bulk_modulus,1,9,False,True
properties[].mechanical.bulk_modulus.unit,1,9,False,True
properties[].mechanical.bulk_modulus.value,1,9,False,True
properties[].mechanical.poisson_ratio,1,9,False,True
properties[].mechanical.poisson_ratio.value,1,9,False,True
properties[].mechanical.pugh_ratio,1,9,False,True
properties[].mechanical.pugh_ratio.value,1,9,False,True
properties[].mechanical.shear_modulus,1,9,False,True
properties[].mechanical.shear_modulus.unit,1,9,False,True
properties[].mechanical.shear_modulus.value,1,9,False,True
properties[].mechanical.youngs_modulus_elastic,1,9,False,True
properties[].mechanical.youngs_modulus_elastic.unit,1,9,False,True
properties[].mechanical.youngs_modulus_elastic.value,1,9,False,True
properties[].physical.debye_temperature,1,9,False,True
properties[].physical.debye_temperature.unit,1,9,False,True
properties[].physical.debye_temperature.value,1,9,False,True
properties[].physical.sound_velocity,1,9,False,True
properties[].physical.sound_velocity.average,1,9,False,True
properties[].physical.sound_velocity.average.unit,1,9,False,True
properties[].physical.sound_velocity.average.value,1,9,False,True
properties[].physical.sound_velocity.longitudinal,1,9,False,True
properties[].physical.sound_velocity.longitudinal.unit,1,9,False,True
properties[].physical.sound_velocity.longitudinal.value,1,9,False,True
properties[].physical.sound_velocity.transverse,1,9,False,True
properties[].physical.sound_velocity.transverse.unit,1,9,False,True
properties[].physical.sound_velocity.transverse.value,1,9,False,True
properties[].mechanical.impact_properties,1,8,False,True
properties[].physical.damping_ratio,1,8,False,True
structures[].microstructure_list[].deformation_twins,1,8,False,True
properties[].mechanical.tensile_toughness[].direction,1,7,False,True
properties[].mechanical.tensile_toughness[].unit,1,7,False,True
properties[].mechanical.tensile_toughness[].value,1,7,False,True
processing_steps[].strain_rate,1,6,False,True
properties[].chemical.oxidation_resistance.passivation_behavior,1,5,False,True
properties[].chemical.oxidation_resistance.test_medium,1,5,False,True
properties[].mechanical.tensile_properties.strain_hardening_exponent[].value,1,5,False,True
properties[].breakdown_current_density,1,4,False,True
properties[].mechanical.fatigue_properties.cycles_to_failure,1,4,True,True
properties[].mechanical.impact_properties[].impact_energy,1,4,False,True
properties[].mechanical.impact_properties[].impact_energy.uncertainty,1,4,False,True
properties[].mechanical.impact_properties[].impact_energy.unit,1,4,False,True
properties[].mechanical.impact_properties[].impact_energy.value,1,4,False,True
properties[].mechanical.impact_properties[].test_type,1,4,False,True
properties[].mechanical.impact_toughness[].notch_type,1,4,False,True
properties[].mechanical.impact_toughness[].uncertainty,1,4,False,True
properties[].mechanical.tensile_properties.elongation[].uncertainty,1,4,False,True
properties[].oxide_film_NA,1,4,False,True
properties[].oxide_film_ND,1,4,False,True
properties[].oxide_film_thickness,1,4,False,True
properties[].polarization_resistance_with_film,1,4,False,True
properties[].polarization_resistance_without_film,1,4,False,True
structures[].microstructure_list[].defects[].description,1,4,False,True
structures[].microstructure_list[].deformation_twins[].location,1,4,False,True
structures[].microstructure_list[].deformation_twins[].notes,1,4,False,True
structures[].microstructure_list[].deformation_twins[].type,1,4,False,True
structures[].microstructure_list[].deformation_twins[].volume_fraction,1,4,False,True
structures[].microstructure_list[].phases_present[].lattice_parameter,1,4,False,True
interfaces[].phases[].orientation_relationship,1,3,False,True
properties[].mechanical.impact_toughness.test_method,1,3,False,True
properties[].mechanical.impact_toughness.uncertainty,1,3,False,True
properties[].mechanical.impact_toughness.unit,1,3,False,True
properties[].mechanical.impact_toughness.value,1,3,False,True
properties[].mechanical.reduction_of_area[].direction,1,3,False,True
properties[].mechanical.reduction_of_area[].others,1,3,False,True
properties[].mechanical.reduction_of_area[].others.uncertainty,1,3,False,True
structures[].microstructure_list[].defects[].crack_path,1,3,False,True
structures[].microstructure_list[].grain_structure.gnd_distribution,1,3,False,True
structures[].microstructure_list[].grain_structure.high_angle_grain_boundary_fraction,1,3,False,True
structures[].microstructure_list[].grain_structure.low_angle_grain_boundary_fraction,1,3,False,True
computational_details[].analytical_model[].parameters.dislocation_densities,1,2,False,True
properties[].mechanical.impact_properties[].propagation_energy,1,2,False,True
properties[].mechanical.impact_toughness[].temperature,1,2,False,True
properties[].mechanical.tensile_properties.normal_anisotropy,1,2,False,True
properties[].mechanical.tensile_properties.reduction_of_area[].direction,1,2,False,True
properties[].mechanical.tensile_properties.uniform_elongation[].direction,1,2,False,True
properties[].oxide_film_Al_content,1,2,False,True
computational_details[].analytical_model[].parameters.D_Al_fcc,1,1,False,True
computational_details[].analytical_model[].parameters.D_C_fcc,1,1,False,True
computational_details[].analytical_model[].parameters.D_Cr_fcc,1,1,False,True
computational_details[].analytical_model[].parameters.D_Fe_fcc,1,1,False,True
computational_details[].analytical_model[].parameters.D_Mn_fcc,1,1,False,True
computational_details[].analytical_model[].parameters.key_parameters,1,1,False,True
computational_details[].analytical_model[].parameters.twin_volume_fraction,1,1,False,True
computational_details[].paper_id,1,1,False,True
performance[].lifetime_prediction,1,1,True,True
performance[].lifetime_prediction.predicted_lifetime,1,1,True,True
properties[].mechanical.impact_properties[].initiation_energy,1,1,False,True
properties[].mechanical.tensile_properties.normal_anisotropy[].value,1,1,False,True
structures[].microstructure_list[].deformation_twins[].thickness,1,1,False,True
structures[].microstructure_list[].phases_present[].plane_spacing_002,1,1,False,True
structures[].microstructure_list[].substructure_size,1,1,False,True
structures[].microstructure_list[].substructure_size.type,1,1,False,True
structures[].microstructure_list[].substructure_size.unit,1,1,False,True
structures[].microstructure_list[].substructure_size.value,1,1,False,True
performance[].lifetime_prediction.confidence_interval,0,0,True,True
performance[].lifetime_prediction.model_used,0,0,True,True
properties[].chemical.oxidation_resistance.corrosion_rate,0,0,False,True
properties[].mechanical.creep_properties,0,0,True,True
properties[].mechanical.creep_properties.rupture_life,0,0,True,True
properties[].mechanical.creep_properties.steady_state_creep_rate,0,0,True,True
properties[].mechanical.impact_toughness[].direction,0,0,False,True
properties[].mechanical.tensile_properties.normal_anisotropy[].direction,0,0,False,True
properties[].mechanical.tensile_properties.normal_anisotropy[].unit,0,0,False,True
properties[].mechanical.tensile_properties.strain_hardening_exponent[].direction,0,0,False,True
properties[].mechanical.tensile_properties.strain_hardening_exponent[].unit,0,0,False,True
properties[].physical.chemical,0,0,False,True
properties[].physical.chemical.corrosion_resistance,0,0,False,True
properties[].physical.chemical.corrosion_resistance.corrosion_rate,0,0,False,True
properties[].physical.chemical.corrosion_resistance.passivation_behavior,0,0,False,True
properties[].physical.chemical.corrosion_resistance.test_medium,0,0,False,True
properties[].physical.chemical.oxidation_resistance,0,0,False,True
properties[].physical.chemical.oxidation_resistance.oxidation_rate_constant,0,0,False,True
properties[].physical.chemical.oxidation_resistance.protective_scale,0,0,False,True
properties[].physical.electrical_properties,0,0,True,True
properties[].physical.electrical_properties.electrical_conductivity,0,0,True,True
properties[].physical.electrical_properties.resistivity,0,0,True,True
properties[].physical.magnetic_properties.curie_temperature,0,0,True,True
properties[].physical.magnetic_properties.magnetic_susceptibility,0,0,True,True
properties[].physical.radiation_properties,0,0,False,True
properties[].physical.radiation_properties.helium_embrittlement,0,0,False,True
properties[].physical.radiation_properties.irradiation_hardening,0,0,False,True
properties[].physical.radiation_properties.void_swelling,0,0,False,True
properties[].physical.thermal_properties,0,0,True,True
properties[].physical.thermal_properties.specific_heat,0,0,True,True
properties[].physical.thermal_properties.thermal_conductivity,0,0,True,True
properties[].physical.thermal_properties.thermal_expansion_coefficient,0,0,True,True
properties[].radiation_properties,0,0,True,True
properties[].radiation_properties.helium_embrittlement,0,0,True,True
properties[].radiation_properties.irradiation_hardening,0,0,True,True
properties[].radiation_properties.void_swelling,0,0,True,True
