Thinking Process:

1.  **Analyze the Request:**
    `unmapped_findings`: "necessary to minimize grain coarsening and ferrite formation by optimization of the soaking temperature". This fits "unmapped_findings" if no slot. It can go to `processes_notes`. I'll put key findings in `unmapped_findings` if not strictly schema-mapped (like mechanism details). But mechanisms map to `structures` and `interfaces`. I will put the design goals.

    Okay, proceeding.
</think>

{
  "papers": [
    {
      "paper_id": "10.1002_srin.202200207",
      "doi": "10.1002/srin.202200207",
      "title": "Optimization of Process Conditions for Ultralightweight Steel with More Than 13 wt% of Al and 5 wt% of Cr",
      "authors": [
        "Kyeong-Won Kim",
        "Sung-Dae Kim",
        "Seong-Jun Park",
        "Hyungkwon Park",
        "Joonoh Moon",
        "Hyun-UK Hong",
        "Chang-Hoon Lee"
      ],
      "publication_year": "2022",
      "journal": "Steel Research International",
      "keywords": [
        "aluminum",
        "lightweight steel",
        "ordered phase",
        "tensile property",
        "κ-carbide"
      ],
      "research_type": "experimental",
      "paper_scope": "Development and optimization of ultralightweight Fe-Mn-Al-C steel with Al content exceeding 13 wt%, focusing on hot rolling and heat treatment to suppress brittle phases."
    }
  ],
  "alloys": [
    {
      "alloy_id": "alloy_fe30mn132al16c5cr",
      "paper_id": "10.1002_srin.202200207",
      "alloy_name": "Fe-30Mn-13.2Al-1.6C-5Cr steel",
      "aliases": [
        "Fe-30Mn-13.2Al-1.6C-5Cr",
        "Ultralightweight steel"
      ],
      "base_element": "Fe",
      "alloying_elements": [
        "Mn",
        "Al",
        "C",
        "Cr"
      ],
      "nominal_composition": [
        {
          "element": "Mn",
          "weight_percent": "30",
          "atomic_percent": null
        },
        {
          "element": "Al",
          "weight_percent": "13.2",
          "atomic_percent": "23"
        },
        {
          "element": "C",
          "weight_percent": "1.6",
          "atomic_percent": "null"
        },
        {
          "element": "Cr",
          "weight_percent": "5",
          "atomic_percent": "null"
        }
      ],
      "alloys_notes": "Density reduced by 20% compared to conventional steel. Measured density 6.30 g/cm3."
    }
  ],
  "processes": [
    {
      "process_id": "proc_thermal_soak_1100",
      "paper_id": "10.1002_srin.202200207",
      "alloy_id": "alloy_fe30mn132al16c5cr",
      "description": "Soaking in vacuum induction furnace at 1100 °C for 2 h prior to hot rolling.",
      "processes_notes": "Targeted to minimize grain coarsening."
    },
    {
      "process_id": "proc_thermal_soak_1150",
      "paper_id": "10.1002_srin.202200207",
      "alloy_id": "alloy_fe30mn132al16c5cr",
      "description": "Soaking in vacuum induction furnace at 1150 °C for 2 h prior to hot rolling.",
      "processes_notes": "Resulted in intergranular cracks due to coarse ferrite and DO3 phase."
    },
    {
      "process_id": "proc_thermal_soak_1200",
      "paper_id": "10.1002_srin.202200207",
      "alloy_id": "alloy_fe30mn132al16c5cr",
      "description": "Soaking in vacuum induction furnace at 1200 °C for 2 h prior to hot rolling.",
      "processes_notes": "Resulted in intergranular cracks due to coarse ferrite and DO3 phase."
    },
    {
      "process_id": "proc_thermal_hom_1050",
      "paper_id": "10.1002_srin.202200207",
      "alloy_id": "alloy_fe30mn132al16c5cr",
      "description": "Homogenization heat treatment at 1050 °C for 2 h after hot rolling.",
      "processes_notes": "Selected to dissolve κ-carbide and minimize grain coarsening."
    },
    {
      "process_id": "proc_cool_air",
      "paper_id": "10.1002_srin.202200207",
      "alloy_id": "alloy_fe30mn132al16c5cr",
      "description": "Air cooling of homogenized steel to room temperature.",
      "processes_notes": "Resulted in inferior tensile properties due to coarse DO3 phase at grain boundaries."
    },
    {
      "process_id": "proc_cool_water",
      "paper_id": "10.1002_srin.202200207",
      "alloy_id": "alloy_fe30mn132al16c5cr",
      "description": "Water quenching of homogenized steel to room temperature.",
      "processes_notes": "Resulted in uniform microstructure and excellent tensile properties."
    }
  ],
  "samples": [
    {
      "sample_id": "sample_1100_water",
      "paper_id": "10.1002_srin.202200207",
      "alloy_id": "alloy_fe30mn132al16c5cr",
      "process_id": "proc_cool_water"
    },
    {
      "sample_id": "sample_1100_air",
      "paper_id": "10.1002_srin.202200207",
      "alloy_id": "alloy_fe30mn132al16c5cr",
      "process_id": "proc_cool_air"
    },
    {
      "sample_id": "sample_1150_fail",
      "paper_id": "10.1002_srin.202200207",
      "alloy_id": "alloy_fe30mn132al16c5cr",
      "process_id": "proc_thermal_soak_1150"
    },
    {
      "sample_id": "sample_1200_fail",
      "paper_id": "10.1002_srin.202200207",
      "alloy_id": "alloy_fe30mn132al16c5cr",
      "process_id": "proc_thermal_soak_1200"
    }
  ],
  "processing_steps": [
    {
      "sample_id": "sample_1100_water",
      "paper_id": "10.1002_srin.202200207",
      "sequence": "step_1",
      "type": "heat_treatment",
      "method": "soaking",
      "temperature": "1100",
      "unit": "Celsius",
      "duration": "2",
      "unit": "hour",
      "processing_steps_notes": "Before hot rolling."
    },
    {
      "sample_id": "sample_1100_water",
      "paper_id": "10.1002_srin.202200207",
      "sequence": "step_2",
      "type": "mechanical_processing",
      "method": "hot_rolling",
      "temperature": "1000",
      "unit": "Celsius_minus",
      "processing_steps_notes": "Rolled from 30mm to 7mm thickness."
    },
    {
      "sample_id": "sample_1100_water",
      "paper_id": "10.1002_srin.202200207",
      "sequence": "step_3",
      "type": "heat_treatment",
      "method": "homogenization",
      "temperature": "1050",
      "unit": "Celsius",
      "duration": "2",
      "unit": "hour"
    },
    {
      "sample_id": "sample_1100_water",
      "paper_id": "10.1002_srin.202200207",
      "sequence": "step_4",
      "type": "cooling",
      "method": "water_quenching"
    },
    {
      "sample_id": "sample_1100_air",
      "paper_id": "10.1002_srin.202200207",
      "sequence": "step_1",
      "type": "heat_treatment",
      "method": "soaking",
      "temperature": "1100",
      "unit": "Celsius",
      "duration": "2",
      "unit": "hour"
    },
    {
      "sample_id": "sample_1100_air",
      "paper_id": "10.1002_srin.202200207",
      "sequence": "step_2",
      "type": "mechanical_processing",
      "method": "hot_rolling",
      "temperature": "1000",
      "unit": "Celsius_minus"
    },
    {
      "sample_id": "sample_1100_air",
      "paper_id": "10.1002_srin.202200207",
      "sequence": "step_3",
      "type": "heat_treatment",
      "method": "homogenization",
      "temperature": "1050",
      "unit": "Celsius",
      "duration": "2",
      "unit": "hour"
    },
    {
      "sample_id": "sample_1100_air",
      "paper_id": "10.1002_srin.202200207",
      "sequence": "step_4",
      "type": "cooling",
      "method": "air_cooling"
    }
  ],
  "structures": [
    {
      "structure_id": "struct_wq_01",
      "sample_id": "sample_1100_water",
      "overall_structure": "Uniform microstructure comprising austenite, fine kappa-carbide in austenite, and very small fraction of ordered DO3 phase.",
      "number_of_phases": "3",
      "microstructure_counts": null,
      "microstructure_list": [
        {
          "uuid": "uuid_struct_wq_001",
          "related_sequence": "step_3",
          "phases_present": [
            {
              "phase_name": "Austenite",
              "crystal_structure": "FCC",
              "volume_fraction": null,
              "morphology": "Grained",
              "grain_size": "35",
              "unit": "micrometer",
              "texture": null
            },
            {
              "phase_name": "Ordered phase",
              "crystal_structure": "DO3",
              "volume_fraction": "1.27",
              "morphology": "At grain boundaries",
              "thickness": "2.4",
              "unit": "micrometer",
              "texture": null
            },
            {
              "phase_name": "Kappa-carbide",
              "crystal_structure": "(Fe,Mn)3AlC",
              "volume_fraction": null,
              "morphology": "Fine inside austenite",
              "grain_size": null,
              "texture": null
            }
          ],
          "defects": [],
          "grain_structure": {
            "average_grain_size": {
              "size_value": "35",
              "unit": "micrometer"
            },
            "grain_size_distribution": null,
            "texture": null
          },
          "precipitates": [
            {
              "precipitate_id": "prec_001",
              "type": "κ-carbide",
              "size": {
                "value": null,
                "unit": "micrometer"
              },
              "distribution": null,
              "coherency": null
            }
          ]
        }
      ]
    },
    {
      "structure_id": "struct_ac_01",
      "sample_id": "sample_1100_air",
      "overall_structure": "Austenite and coarse DO3 phase at grain boundaries.",
      "number_of_phases": "2",
      "microstructure_counts": null,
      "microstructure_list": [
        {
          "uuid": "uuid_struct_ac_001",
          "related_sequence": "step_3",
          "phases_present": [
            {
              "phase_name": "Austenite",
              "crystal_structure": "FCC",
              "volume_fraction": null,
              "morphology": "Grained",
              "grain_size": "35",
              "unit": "micrometer",
              "texture": null
            },
            {
              "phase_name": "Ordered phase",
              "crystal_structure": "DO3",
              "volume_fraction": "4.2",
              "morphology": "At grain boundaries",
              "thickness": "2.6",
              "unit": "micrometer"
            }
          ],
          "defects": [],
          "grain_structure": {
            "average_grain_size": {
              "size_value": "35",
              "unit": "micrometer"
            },
            "grain_size_distribution": null,
            "texture": null
          },
          "precipitates": []
        }
      ]
    }
  ],
  "interfaces": [
    {
      "interface_set_id": "iface_set_001",
      "sample_id": "sample_1100_water",
      "phases": [
        {
          "interface_id": "iface_001",
          "microstructure_uuid": "uuid_struct_wq_001",
          "phase_1_name": "Austenite",
          "phase_2_name": "Ordered DO3 phase",
          "coherence": null
        }
      ],
      "defect_interaction": [
        {
          "interaction_id": "def_001",
          "microstructure_uuid": "uuid_struct_wq_001",
          "interaction_type": null,
          "quality_description": "No coarse kappa-carbide or ferrite found."
        }
      ],
      "interface_notes": [],
      "phase_evolution": "Ordered DO3 phase formation at grain boundaries was suppressed to a very small fraction."
    },
    {
      "interface_set_id": "iface_set_002",
      "sample_id": "sample_1100_air",
      "phases": [
        {
          "interface_id": "iface_002",
          "microstructure_uuid": "uuid_struct_ac_001",
          "phase_1_name": "Austenite",
          "phase_2_name": "Ordered DO3 phase",
          "coherence": null
        }
      ],
      "defect_interaction": [
        {
          "interaction_id": "def_002",
          "microstructure_uuid": "uuid_struct_ac_001",
          "interaction_type": "intergranular_fracture",
          "quality_description": "Cracks initiated and propagated along DO3 phase at grain boundaries."
        }
      ],
      "interface_notes": [],
